season,episode_num,imdb_rating,title
1,1,8.3,The One Where Monica Gets a Roommate
1,2,8.0,The One with the Sonogram at the End
1,3,8.2,The One with the Thumb
1,4,8.1,The One with George Stephanopoulos
1,5,8.5,The One with the East German Laundry Detergent
1,6,8.1,The One with the Butt
1,7,9.0,The One with the Blackout
1,8,8.1,The One Where Nana Dies Twice
1,9,8.2,The One Where Underdog Gets Away
1,10,8.1,The One with the Monkey
1,11,8.2,The One with Mrs. Bing
1,12,8.2,The One with the Dozen Lasagnas
1,13,8.7,The One with the Boobies
1,14,8.3,The One with the Candy Hearts
1,15,8.2,The One with the Stoned Guy
1,16,8.1,The One with Two Parts: Part 1
1,17,8.5,The One with Two Parts: Part 2
1,18,8.8,The One with All the Poker
1,19,8.1,The One Where the Monkey Gets Away
1,20,7.9,The One with the Evil Orthodontist
1,21,7.8,The One with the Fake Monica
1,22,8.3,The One with the Ick Factor
1,23,8.7,The One with the Birth
1,24,8.9,The One Where Rachel Finds Out
2,1,8.5,The One with Ross's New Girlfriend
2,2,8.2,The One with the Breast Milk
2,3,8.4,The One Where Heckles Dies
2,4,7.9,The One with Phoebe's Husband
2,5,8.3,The One with Five Steaks and an Eggplant
2,6,8.6,The One with the Baby on the Bus
2,7,9.0,The One Where Ross Finds Out
2,8,8.5,The One with the List
2,9,8.0,The One with Phoebe's Dad
2,10,8.0,The One with Russ
2,11,8.1,The One with the Lesbian Wedding
2,12,8.6,The One After the Superbowl: Part 1
2,13,8.8,The One After the Superbowl: Part 2
2,14,9.4,The One with the Prom Video
2,15,8.9,The One Where Ross and Rachel... You Know
2,16,8.6,The One Where Joey Moves Out
2,17,8.3,The One Where Eddie Moves In
2,18,8.5,The One Where Dr. Ramoray Dies
2,19,8.5,The One Where Eddie Won't Go
2,20,8.1,The One Where Old Yeller Dies
2,21,8.1,The One with the Bullies
2,22,9.0,The One with the Two Parties
2,23,8.1,The One with the Chicken Pox
2,24,8.2,The One with Barry and Mindy's Wedding
3,1,8.4,The One with the Princess Leia Fantasy
3,2,9.0,The One Where No One's Ready
3,3,8.0,The One with the Jam
3,4,8.1,The One with the Metaphorical Tunnel
3,5,8.1,The One with Frank Jr.
3,6,9.1,The One with the Flashback
3,7,8.3,The One with the Race Car Bed
3,8,8.4,The One with the Giant Poking Device
3,9,9.0,The One with the Football
3,10,8.1,The One Where Rachel Quits
3,11,8.6,The One Where Chandler Can't Remember Which Sister
3,12,8.2,The One with All the Jealousy
3,13,8.2,The One Where Monica and Richard Are Just Friends
3,14,7.8,The One with Phoebe's Ex-Partner
3,15,8.5,The One Where Ross and Rachel Take a Break
3,16,9.1,The One with the Morning After
3,17,8.3,The One Without the Ski Trip
3,18,8.4,The One with the Hypnosis Tape
3,19,8.2,The One with the Tiny T-Shirt
3,20,8.1,The One with the Dollhouse
3,21,8.7,The One with the Chick and the Duck
3,22,8.2,The One with the Screamer
3,23,8.1,The One with Ross's Thing
3,24,8.1,The One with the Ultimate Fighting Champion
3,25,8.8,The One at the Beach
4,1,9.1,The One with the Jellyfish
4,2,8.1,The One with the Cat
4,3,8.5,The One with the 'Cuffs
4,4,8.2,The One with the Ballroom Dancing
4,5,8.4,The One with Joey's New Girlfriend
4,6,8.5,The One with the Dirty Girl
4,7,8.7,The One Where Chandler Crosses the Line
4,8,9.1,The One with Chandler in a Box
4,9,7.9,The One Where They're Going to Party!
4,10,8.1,The One with the Girl from Poughkeepsie
4,11,8.5,The One with Phoebe's Uterus
4,12,9.5,The One with the Embryos
4,13,8.2,The One with Rachel's Crush
4,14,8.2,The One with Joey's Dirty Day
4,15,8.5,The One with All the Rugby
4,16,8.2,The One with the Fake Party
4,17,8.6,The One with the Free Porn
4,18,8.3,The One with Rachel's New Dress
4,19,8.7,The One with All the Haste
4,20,8.5,The One with All the Wedding Dresses
4,21,7.2,The One with the Invitation
4,22,8.5,The One with the Worst Best Man Ever
4,23,8.7,The One with Ross's Wedding
4,24,9.2,The One with Ross's Wedding: Part 2
5,1,8.9,The One After Ross Says Rachel
5,2,9.0,The One with All the Kissing
5,3,8.8,The One Hundredth
5,4,8.3,The One Where Phoebe Hates PBS
5,5,8.7,The One with the Kips
5,6,8.0,The One with the Yeti
5,7,8.3,The One Where Ross Moves In
5,8,9.2,The One with All the Thanksgivings
5,9,9.1,The One with Ross's Sandwich
5,10,8.2,The One with the Inappropriate Sister
5,11,9.1,The One with All the Resolutions
5,12,8.3,The One with Chandler's Work Laugh
5,13,8.1,The One with Joey's Bag
5,14,9.7,The One Where Everybody Finds Out
5,15,8.5,The One with the Girl Who Hits Joey
5,16,8.6,The One with the Cop
5,17,8.5,The One with Rachel's Inadvertent Kiss
5,18,8.0,The One Where Rachel Smokes
5,19,8.7,The One Where Ross Can't Flirt
5,20,8.3,The One with the Ride Along
5,21,8.5,The One with the Ball
5,22,8.3,The One with Joey's Big Break
5,23,8.8,The One in Vegas: Part 1
5,24,9.1,The One in Vegas: Part 2
6,1,8.7,The One After Vegas
6,2,8.2,The One Where Ross Hugs Rachel
6,3,8.2,The One with Ross's Denial
6,4,8.5,The One Where Joey Loses His Insurance
6,5,8.2,The One with Joey's Porsche
6,6,8.5,The One on the Last Night
6,7,8.4,The One Where Phoebe Runs
6,8,8.5,The One with Ross' Teeth
6,9,9.2,The One Where Ross Got High
6,10,8.6,The One with the Routine
6,11,8.1,The One with the Apothecary Table
6,12,8.0,The One with the Joke
6,13,8.2,The One with Rachel's Sister
6,14,8.6,The One Where Chandler Can't Cry
6,15,8.5,The One That Could Have Been
6,16,8.5,The One That Could Have Been
6,17,9.1,The One with Unagi
6,18,8.3,The One Where Ross Dates a Student
6,19,8.3,The One with Joey's Fridge
6,20,7.4,The One with Mac and C.H.E.E.S.E.
6,21,8.6,The One Where Ross Meets Elizabeth's Dad
6,22,9.0,The One Where Paul's the Man
6,23,8.6,The One with the Ring
6,24,8.8,The One with the Proposal
6,25,9.3,The One with the Proposal
7,1,8.4,The One with Monica's Thunder
7,2,8.3,The One with Rachel's Book
7,3,8.1,The One with Phoebe's Cookies
7,4,8.1,The One with Rachel's Assistant
7,5,8.1,The One with the Engagement Picture
7,6,8.9,The One with the Nap Partners
7,7,8.5,The One with Ross's Library Book
7,8,8.2,The One Where Chandler Doesn't Like Dogs
7,9,8.1,The One with All the Candy
7,10,8.5,The One with the Holiday Armadillo
7,11,8.6,The One with All the Cheesecakes
7,12,8.7,The One Where They're Up All Night
7,13,8.4,The One Where Rosita Dies
7,14,8.6,The One Where They All Turn Thirty
7,15,8.4,The One with Joey's New Brain
7,16,8.7,The One with the Truth About London
7,17,8.4,The One with the Cheap Wedding Dress
7,18,8.4,The One with Joey's Award
7,19,8.7,The One with Ross and Monica's Cousin
7,20,8.4,The One with Rachel's Big Kiss
7,21,7.4,The One with the Vows
7,22,8.4,The One with Chandler's Dad
7,23,8.9,The One with Monica and Chandler's Wedding: Part 1
7,24,9.2,The One with Monica and Chandler's Wedding: Part 2
8,1,8.7,The One After I Do
8,2,9.1,The One with the Red Sweater
8,3,8.7,The One Where Rachel Tells...
8,4,9.3,The One with the Videotape
8,5,8.1,The One with Rachel's Date
8,6,8.5,The One with the Halloween Party
8,7,7.9,The One with the Stain
8,8,8.8,The One with the Stripper
8,9,9.3,The One with the Rumor
8,10,8.1,The One with Monica's Boots
8,11,8.0,The One with Ross's Step Forward
8,12,8.6,The One Where Joey Dates Rachel
8,13,8.6,The One Where Chandler Takes a Bath
8,14,8.2,The One with the Secret Closet
8,15,8.4,The One with the Birthing Video
8,16,8.3,The One Where Joey Tells Rachel
8,17,8.1,The One with the Tea Leaves
8,18,8.2,The One in Massapequa
8,19,7.5,The One with Joey's Interview
8,20,8.2,The One with the Baby Shower
8,21,8.2,The One with the Cooking Class
8,22,8.3,The One Where Rachel Is Late
8,23,8.8,The One Where Rachel Has a Baby: Part 1
8,24,8.9,The One Where Rachel Has a Baby: Part 2
9,1,8.6,The One Where No One Proposes
9,2,8.6,The One Where Emma Cries
9,3,8.2,The One with the Pediatrician
9,4,8.2,The One with the Sharks
9,5,8.5,The One with Phoebe's Birthday Dinner
9,6,8.4,The One with the Male Nanny
9,7,8.7,The One with Ross's Inappropriate Song
9,8,8.8,The One with Rachel's Other Sister
9,9,8.2,The One with Rachel's Phone Number
9,10,7.5,The One with Christmas in Tulsa
9,11,8.0,The One Where Rachel Goes Back to Work
9,12,7.9,The One with Phoebe's Rats
9,13,8.1,The One Where Monica Sings
9,14,8.2,The One with the Blind Dates
9,15,8.3,The One with the Mugging
9,16,8.2,The One with the Boob Job
