season,episode_num,imdb_rating,title
1,1,8.7,Space Pilot 3000
1,2,8.1,The Series Has Landed
1,3,8.3,"I, Roommate"
1,4,8.3,Love's Labours Lost in Space
1,5,8.0,Fear of a Bot Planet
1,6,8.4,A Fishful of Dollars
1,7,7.9,My Three Suns
1,8,8.1,A Big Piece of Garbage
1,9,8.2,Hell Is Other Robots
2,1,8.3,A Flight to Remember
2,2,7.8,Mars University
2,3,8.1,When Aliens Attack
2,4,8.4,Fry and the Slurm Factory
2,5,7.8,I Second That Emotion
2,6,8.0,"Brannigan, Begin Again"
2,7,7.8,A Head in the Polls
2,8,8.2,Xmas Story
2,9,8.1,Why Must I Be a Crustacean in Love?
2,10,7.6,Put Your Head on My Shoulders
2,11,7.6,The Lesser of Two Evils
2,12,7.7,Raging Bender
2,13,8.1,A Bicyclops Built for Two
2,14,8.1,How Hermes Requisitioned His Groove Back
2,15,7.6,A Clone of My Own
2,16,7.9,The Deep South
2,17,7.7,Bender Gets Made
2,18,8.6,The Problem with Popplers
2,19,7.9,Mother's Day
2,20,8.6,Anthology of Interest I
3,1,7.6,The Honking
3,2,8.5,War Is the H-Word
3,3,7.4,The Cryonic Woman
3,4,9.0,Parasites Lost
3,5,8.8,Amazon Women in the Mood
3,6,7.3,Bendless Love
3,7,8.5,The Day the Earth Stood Stupid
3,8,7.2,That's Lobstertainment!
3,9,7.6,The Birdbot of Ice-Catraz
3,10,9.5,The Luck of the Fryrish
3,11,7.8,The Cyber House Rules
3,12,8.2,Insane in the Mainframe
3,13,7.4,Bendin' in the Wind
3,14,8.4,Time Keeps on Slipping
3,15,7.7,I Dated a Robot
4,1,9.1,Roswell That Ends Well
4,2,7.8,A Tale of Two Santas
4,3,8.3,Anthology of Interest II
4,4,7.8,Love and Rocket
4,5,8.7,Leela's Homeworld
4,6,7.6,Where the Buggalo Roam
4,7,7.7,A Pharaoh to Remember
4,8,8.9,Godfellas
4,9,7.8,Future Stock
4,10,7.0,A Leela of Her Own
4,11,7.7,The 30% Iron Chef
4,12,8.3,Where No Fan Has Gone Before
5,1,8.0,Crimes of the Hot
5,2,9.6,Jurassic Bark
5,3,7.4,The Route of All Evil
5,4,8.0,A Taste of Freedom
5,5,7.7,Kif Gets Knocked Up a Notch
5,6,7.8,Less Than Hero
5,7,8.4,Teenage Mutant Leela's Hurdles
5,8,8.8,The Why of Fry
5,9,9.2,The Sting
5,10,8.9,The Farnsworth Parabox
5,11,8.3,Three Hundred Big Boys
5,12,7.7,Spanish Fry
5,13,7.3,Bend Her
5,14,7.8,Obsoletely Fabulous
5,15,7.6,Bender Should Not Be Allowed on TV
5,16,9.2,The Devil's Hands Are Idle Playthings
6,1,8.1,Bender's Big Score: Part 1
6,2,8.3,Bender's Big Score: Part 2
6,3,8.3,Bender's Big Score: Part 3
6,4,8.4,Bender's Big Score: Part 4
6,5,7.3,The Beast with a Billion Backs: Part 1
6,6,7.4,The Beast with a Billion Backs: Part 2
6,7,7.3,The Beast with a Billion Backs: Part 3
6,8,7.3,The Beast with a Billion Backs: Part 4
6,9,7.5,Bender's Game: Part 1
6,10,7.5,Bender's Game: Part 2
6,11,7.6,Bender's Game: Part 3
6,12,7.6,Bender's Game: Part 4
6,13,7.5,Into the Wild Green Yonder: Part 1
6,14,7.5,Into the Wild Green Yonder: Part 2
6,15,7.6,Into the Wild Green Yonder: Part 3
6,16,7.7,Into the Wild Green Yonder: Part 4
7,1,7.9,Rebirth
7,2,7.1,In-A-Gadda-Da-Leela
7,3,7.8,Attack of the Killer App
7,4,7.3,Proposition Infinity
7,5,7.3,The Duh-Vinci Code
7,6,8.7,Lethal Inspection
7,7,9.4,The Late Philip J. Fry
7,8,7.3,That Darn Katz!
7,9,7.9,A Clockwork Origin
7,10,8.4,The Prisoner of Benda
7,11,7.3,Lrrreconcilable Ndndifferences
7,12,7.5,The Mutants Are Revolting
7,13,6.5,The Futurama Holiday Spectacular
8,1,7.5,Neutopia
8,2,7.7,Benderama
8,3,7.6,Ghost in the Machines
8,4,8.1,Law and Oracle
8,5,7.6,The Silence of the Clamps
8,6,6.9,Yo Leela Leela
8,7,7.4,All the Presidents' Heads
8,8,7.4,Möbius Dick
8,9,7.3,Fry Am the Egg Man
8,10,7.8,The Tip of the Zoidberg
8,11,7.7,Cold Warriors
8,12,8.0,Overclockwise
8,13,8.0,Reincarnation
9,1,7.8,The Bots and the Bees
9,2,7.6,A Farewell to Arms
9,3,7.5,Decision 3012
9,4,7.3,The Thief of Baghead
9,5,7.1,Zapp Dingbat
9,6,7.0,The Butterjunk Effect
9,7,7.5,The Six Million Dollar Mon
9,8,7.7,Fun on a Bun
9,9,7.4,Free Will Hunting
9,10,7.7,Near-Death Wish
9,11,7.6,Viva Mars Vegas
9,12,7.2,31st Century Fox
9,13,7.3,Naturama
10,1,7.3,2-D Blacktop
10,2,8.0,Fry and Leela's Big Fling
10,3,7.4,T.: The Terrestrial
10,4,6.7,Forty Percent Leadbelly
10,5,7.3,The Inhuman Torch
10,6,6.9,Saturday Morning Fun Pit
10,7,7.2,Calculon 2.0
10,8,7.2,Assie Come Home
10,9,7.2,Leela and the Genestalk
10,10,8.5,Game of Tones
10,11,8.5,Murder on the Planet Express
10,12,8.0,Stench and Stenchibility
10,13,9.4,Meanwhile
