season,episode_num,imdb_rating,title
1,1,7.3,Pilot
1,2,7.2,Threat Levels
1,3,7.3,Stan Knows Best
1,4,7.3,Francine's Flashback
1,5,7.6,Roger Codger
1,6,7.5,Homeland Insecurity
1,7,7.3,"Deacon Stan, Jesus Man"
1,8,7.9,Bullocks to Stan
1,9,7.8,A Smith in the Hand
1,10,7.4,All About Steve
1,11,7.2,Con Heir
1,12,7.7,Stan of Arabia: Part 1
1,13,7.7,Stan of Arabia: Part 2
1,14,7.5,Stannie Get Your Gun
1,15,7.4,Star Trek
1,16,7.3,Not Particularly Desperate Housewife
1,17,7.6,Rough Trade
1,18,7.5,Finances with Wolves
1,19,7.2,It's Good to Be the Queen
1,20,7.6,Roger 'n' Me
1,21,7.2,Helping Handis
1,22,7.8,With Friends Like Steve's
1,23,7.7,Tears of a Clooney
2,1,7.7,Camp Refoogee
2,2,7.9,The American Dad After School Special
2,3,7.6,Failure is Not a Factory-Installed Option
2,4,7.7,Lincoln Lover
2,5,7.7,Dungeons and Wagons
2,6,7.3,"Iced, Iced Babies"
2,7,7.1,Of Ice and Men
2,8,7.2,Irregarding Steve
2,9,8.0,The Best Christmas Story Never Told
2,10,7.5,Bush Comes to Dinner
2,11,7.3,American Dream Factory
2,12,7.3,A.T. The Abusive Terrestrial
2,13,7.8,Black Mystery Month
2,14,7.6,An Apocalypse to Remember
2,15,7.6,Four Little Words
2,16,7.5,When a Stan Loves a Woman
2,17,7.5,I Can't Stan You
2,18,7.3,The Magnificent Steven
2,19,7.9,Joint Custody
3,1,8.2,The Vacation Goo
3,2,7.8,Meter Made
3,3,8.1,Dope and Faith
3,4,7.3,Big Trouble in Little Langley
3,5,7.5,Haylias
3,6,7.4,The 42-Year-Old Virgin
3,7,7.4,Surro-Gate
3,8,7.9,The Most Adequate Christmas Ever
3,9,7.6,Frannie 911
3,10,8.5,Tearjerker
3,11,7.3,Oedipal Panties
3,12,7.7,Widowmaker
3,13,7.4,Red October Sky
3,14,7.8,Office Spaceman
3,15,7.5,Stanny Slickers II: The Legend of Ollie's Gold
3,16,7.9,Spring Break-up
4,1,7.8,1600 Candles
4,2,7.8,The One That Got Away
4,3,7.0,One Little Word
4,4,7.4,Choosy Wives Choose Smith
4,5,7.7,Escape from Pearl Bailey
4,6,7.4,Pulling Double Booty
4,7,7.7,Phantom of the Telethon
4,8,7.1,Chimdale
4,9,7.5,Stan Time
4,10,7.2,Family Affair
4,11,7.2,Live and Let Fry
4,12,7.5,Roy Rogers McFreely
4,13,7.1,Jack's Back
4,14,7.5,Bar Mitzvah Hustle
4,15,7.6,Wife Insurance
4,16,7.3,Delorean Story-An
4,17,7.0,Every Which Way But Lose
4,18,7.4,Weiner of Our Discontent
4,19,7.1,Daddy Queerest
4,20,7.4,Stan's Night Out
5,1,8.1,In Country... Club
5,2,7.5,Moon Over Isla Island
5,3,7.2,Home Adrone
5,4,7.3,"Brains, Brains and Automobiles"
5,5,7.3,Man in the Moonbounce
5,6,7.2,Shallow Vows
5,7,7.4,My Morning Straitjacket
5,8,7.3,G-String Circus
5,9,8.9,Rapture's Delight
5,10,7.5,Don't Look a Smith Horse in the Mouth
5,11,8.0,A Jones for a Smith
5,12,7.5,May the Best Stan Win
5,13,7.5,Return of the Bling
5,14,7.6,Cops & Roger
5,15,7.7,Merlot Down Dirty Shame
5,16,7.6,Bully for Steve
5,17,7.1,An Incident at Owl Creek
5,18,8.2,Great Space Roaster
6,1,7.7,100 A.D.
6,2,7.8,Son of Stan
6,3,7.7,Best Little Horror House in Langley Falls
6,4,7.4,Stan's Food Restaurant
6,5,7.2,White Rice
6,6,7.6,There Will Be Bad Blood
6,7,7.7,The People vs. Martin Sugar
6,8,8.6,For Whom the Sleigh Bell Tolls
6,9,7.5,Fart-Break Hotel
6,10,7.7,Stanny Boy and Frantastic
6,11,7.3,A Piñata Named Desire
6,12,7.4,You Debt Your Life
6,13,7.7,I Am the Walrus
6,14,7.5,School Lies
6,15,7.2,License to Till
6,16,7.4,Jenny Fromdabloc
6,17,7.3,Home Wrecker
6,18,7.4,Flirting with Disaster
6,19,6.9,Gorillas in the Mist
7,1,7.3,Hot Water
7,2,8.1,Hurricane!
7,3,7.1,A Ward Show
7,4,7.0,The Worst Stan
7,5,7.9,Virtual In-Stanity
7,6,7.3,The Scarlet Getter
7,7,7.9,Season's Beatings
7,8,7.3,The Unbrave One
7,9,7.4,Stanny Tendergrass
7,10,7.4,Wheels & the Legman and the Case of Grandpa's Key
7,11,7.7,Old Stan in the Mountain
7,12,7.1,The Wrestler
7,13,7.6,Dr. Klaustus
7,14,6.9,Stan's Best Friend
