season,episode_num,imdb_rating,title
1,1,9.1,Nisen-nengo no Kimi e: Shiganshina Kanraku (1)
1,2,8.6,"That Day: The Fall of Shiganshina, Part 2"
1,3,8.4,"A Dim Light Amid Despair: Humanity's Comeback, Part 1"
1,4,8.7,"The Night of the Closing Ceremony: Humanity's Comeback, Part 2"
1,5,9.3,"First Battle: Defense of Trost, Part 1"
1,6,9.0,"The World the Girl Saw: The Struggle for Trost, Part 2"
1,7,9.0,"Small Blade: The Struggle for Trost, Part 3"
1,8,9.2,"I Can Hear His Heartbeat: The Struggle for Trost, Part 4"
1,9,8.9,"Whereabouts of His Left Arm: The Struggle for Trost, Part 5"
1,10,8.5,"Response: The Struggle for Trost, Part 6"
1,11,8.5,"Icon: Battle of Trost District, Part 7"
1,12,8.5,"Wound: Battle of Trost District, Part 8"
1,13,9.0,"Primal Desires: Battle of Trost District, Part 9"
1,14,8.6,"Can't Look Into His Eyes Yet: Eve of the Counterattack, Part 1"
1,15,8.4,"Special Operations Squad: Prelude to the Counterattack, Part 2"
1,16,8.5,"What Needs to Be Done Now: Eve of the Counterattack, Part 3"
1,17,9.2,"Female Titan: The 57th Expedition Beyond the Walls, Part 1"
1,18,9.0,"Forest of Giant Trees: The 57th Expedition Beyond the Walls, Part 2"
1,19,9.1,"Bite: The 57th Exterior Scouting Mission, Part 3"
1,20,9.2,"Erwin Smith: The 57th Expedition Beyond the Walls, Part 4"
1,21,9.6,"Iron Hammer: The 57th Expedition Beyond the Walls, Part 5"
1,22,9.1,"The Defeated: The 57th Expedition Beyond the Walls, Part 6"
1,23,9.0,"Smile: Raid on Stohess District, Part 1"
1,24,9.2,"Mercy: Raid on Stohess District, Part 2"
1,25,9.4,"Wall: Raid on Stohess District, Part 3"
2,1,9.3,Beast Titan
2,2,8.7,Tadaima
2,3,8.9,Nansei e
2,4,9.3,Heishi
2,5,9.4,Historia
2,6,9.8,Senshi
2,7,9.6,Da Tou Kyou
2,8,8.7,Ou Mono
2,9,8.8,Kaikou
2,10,9.1,Kodomo-tachi
2,11,9.6,Totsugeki
2,12,9.8,Scream
3,1,9.1,Smoke Signal
3,2,9.4,Pain
3,3,9.0,Old Story
3,4,8.8,Trust
3,5,9.2,Reply
3,6,9.4,Sin
3,7,9.6,Wish
3,8,9.1,Outside the Walls of Orvud District
3,9,9.4,Ruler of the Walls
3,10,9.3,Friends
3,11,9.3,Bystander
3,12,9.1,Night of the Battle to Retake the Wall
3,13,9.6,The Town Where Everything Began
3,14,9.6,Thunder Spears
3,15,9.6,Descent
3,16,9.9,Perfect Game
3,17,10.0,Hero
3,18,9.9,Midnight Sun
3,19,9.3,The Basement
3,20,9.9,That Day
3,21,9.7,The Attack Titan
3,22,9.6,The Other Side of the Wall
4,1,9.4,The Other Side of the Ocean
4,2,8.9,Midnight Train
4,3,9.4,The Door of Hope
4,4,9.1,From One Hand to Another
4,5,9.9,Declaration of War
4,6,9.9,The War Hammer Titan
4,7,10.0,Assault
4,8,9.5,Assassin's Bullet
4,9,9.1,Brave Volunteers
4,10,8.7,A Sound Argument
4,11,9.0,Deceiver
