season,episode_num,imdb_rating,title
1,1,7.8,Death Has a Shadow
1,2,7.6,I Never Met the Dead Man
1,3,7.7,Chitty Chitty Death Bang
1,4,7.5,Mind Over Murder
1,5,7.5,A Hero Sits Next Door
1,6,7.3,The Son Also Draws
1,7,7.5,Brian: Portrait of a Dog
2,1,7.6,"Peter, Peter, Caviar Eater"
2,2,7.4,Holy Crap
2,3,8.2,Da Boom
2,4,7.5,Brian in Love
2,5,7.7,Love Thy Trophy
2,6,8.3,Death Is a Bitch
2,7,7.4,The King Is Dead
2,8,8.1,"I Am Peter, Hear Me Roar"
2,9,7.4,If I'm Dyin' I'm Lyin'
2,10,7.5,Running Mates
2,11,7.2,"A Picture Is Worth 1,000 Bucks"
2,12,7.6,Fifteen Minutes of Shame
2,13,8.3,Road to Rhode Island
2,14,7.9,Let's Go to the Hop
2,15,7.5,Dammit Janet
2,16,6.9,There's Something About Paulie
2,17,7.8,He's Too Sexy for His Fat
2,18,8.2,E. Peterbus Unum
2,19,7.5,The Story on Page One
2,20,8.1,Wasted Talent
2,21,7.2,"Fore, Father"
3,1,8.1,The Thin White Line
3,2,7.7,Brian Does Hollywood
3,3,7.6,Mr. Griffin Goes to Washington
3,4,7.6,"One If by Clam, Two If by Sea"
3,5,7.6,And the Wiener Is...
3,6,8.0,Death Lives
3,7,7.3,Lethal Weapons
3,8,6.7,The Kiss Seen Round the World
3,9,7.5,Mr. Saturday Knight
3,10,7.1,A Fish Out of Water
3,11,8.1,Emission Impossible
3,12,8.2,To Love and Die in Dixie
3,13,7.4,Screwed the Pooch
3,14,7.6,"Peter Griffin: Husband, Father... Brother?"
3,15,7.6,"Ready, Willing and Disabled"
3,16,7.7,A Very Special Family Guy Freakin' Christmas
3,17,7.5,Brian Wallows and Peter's Swallows
3,18,7.5,From Method to Madness
3,19,7.6,"Stuck Together, Torn Apart"
3,20,7.9,Road to Europe
3,21,7.5,Family Guy Viewer Mail #1
3,22,7.4,When You Wish Upon a Weinstein
4,1,7.8,North by North Quahog
4,2,7.6,Fast Times at Buddy Cianci Jr. High
4,3,7.6,Blind Ambition
4,4,7.5,Don't Make Me Over
4,5,7.6,The Cleveland-Loretta Quagmire
4,6,8.3,Petarded
4,7,7.4,Brian the Bachelor
4,8,7.6,8 Simple Rules for Buying My Teenage Daughter
4,9,7.6,Breaking Out Is Hard to Do
4,10,7.3,Model Misbehavior
4,11,7.6,Peter's Got Woods
4,12,7.7,The Perfect Castaway
4,13,7.3,Jungle Love
4,14,8.6,PTV
4,15,7.8,Brian Goes Back to College
4,16,7.7,The Courtship of Stewie's Father
4,17,8.0,Fat Guy Strangler
4,18,7.3,"The Father, the Son and the Holy Fonz"
4,19,7.3,Brian Sings and Swings
4,20,7.8,Patriot Games
4,21,7.5,"I Take Thee, Quagmire"
4,22,7.6,Sibling Rivalry
4,23,7.5,Deep Throats
4,24,7.6,Peterotica
4,25,7.2,You May Now Kiss the... Uh... Guy Who Receives
4,26,7.9,Petergeist
4,27,7.7,The Griffin Family History
4,28,7.7,Stewie B. Goode
4,29,7.6,Bango Was His Name Oh!
4,30,7.8,Stu & Stewie's Excellent Adventure
5,1,8.2,Stewie Loves Lois
5,2,7.4,Mother Tucker
5,3,7.6,Hell Comes to Quahog
5,4,7.7,Saving Private Brian
5,5,7.7,Whistle While Your Wife Works
5,6,7.4,Prick Up Your Ears
5,7,7.5,Chick Cancer
5,8,7.9,Barely Legal
5,9,7.9,Road to Rupert
5,10,7.7,Peter's Two Dads
5,11,7.7,The Tan Aquatic with Steve Zissou
5,12,7.7,Airport '07
5,13,7.2,Bill & Peter's Bogus Journey
5,14,7.2,No Meals on Wheels
5,15,7.3,Boys Do Cry
5,16,7.4,No Chris Left Behind
5,17,7.5,"It Takes a Village Idiot, and I Married One"
5,18,8.4,Meet the Quagmires
6,1,8.2,Blue Harvest
6,2,7.2,Movin' Out (Brian's Song)
6,3,7.4,"Believe It or Not, Joe's Walking on Air"
6,4,8.4,Stewie Kills Lois
6,5,8.4,Lois Kills Stewie
6,6,6.9,Padre de Familia
6,7,7.3,Peter's Daughter
6,8,7.6,McStroke
6,9,7.5,Back to the Woods
6,10,7.2,"Play It Again, Brian"
6,11,6.8,The Former Life of Brian
6,12,7.6,Long John Peter
7,1,6.7,Love Blactually
7,2,8.0,I Dream of Jesus
7,3,8.1,Road to Germany
7,4,7.5,Baby Not on Board
7,5,7.6,The Man with Two Brians
7,6,7.2,Tales of a Third Grade Nothing
7,7,7.6,Ocean's Three and a Half
7,8,7.5,Family Gay
7,9,6.3,The Juice Is Loose!
7,10,6.9,FOX-y Lady
7,11,7.6,Not All Dogs Go to Heaven
7,12,7.5,420
7,13,8.0,Stew-Roids
7,14,7.4,We Love You Conrad
7,15,8.2,Three Kings
7,16,7.2,Peter's Progress
8,1,9.1,Road to the Multiverse
8,2,7.1,Family Goy
8,3,6.8,Spies Reminiscent of Us
8,4,7.2,Brian's Got a Brand New Bag
8,5,7.1,Hannah Banana
8,6,7.3,Quagmire's Baby
8,7,7.1,Jerome Is the New Black
8,8,7.5,Dog Gone
8,9,7.4,Business Guy
8,10,7.5,Big Man on Hippocampus
8,11,7.5,Dial Meg for Murder
8,12,6.8,Extra Large Medium
8,13,7.3,"Go, Stewie, Go!"
8,14,6.8,Peter-assment
8,15,7.2,Brian Griffin's House of Payne
8,16,7.2,April in Quahog
8,17,7.6,Brian & Stewie
8,18,7.5,Quagmire's Dad
8,19,7.3,The Splendid Source
8,20,7.7,"Something, Something, Something, Dark Side"
8,21,7.3,Partial Terms of Endearment
9,1,8.6,And Then There Were Fewer
9,2,6.6,Excellence in Broadcasting
9,3,7.0,Welcome Back Carter
9,4,7.9,Halloween on Spooner Street
9,5,7.1,"Baby, You Knock Me Out"
9,6,6.8,Brian Writes a Bestseller
9,7,8.3,Road to the North Pole
9,8,7.5,New Kidney in Town
9,9,7.1,And I'm Joyce Kinney
9,10,7.3,Friends of Peter G.
9,11,6.8,German Guy
9,12,7.2,The Hand That Rocks the Wheelchair
9,13,7.2,Trading Places
9,14,7.1,Tiegs for Two
9,15,6.8,Brothers & Sisters
9,16,8.1,The Big Bang Theory
9,17,6.4,Foreign Affairs
9,18,7.3,It's a Trap!
10,1,7.3,Lottery Fever
10,2,6.4,Seahorse Seashell Party
10,3,6.2,Screams of Silence: The Story of Brenda Q
10,4,7.1,Stewie Goes for a Drive
10,5,8.8,Back to the Pilot
10,6,6.7,Thanksgiving
10,7,7.0,Amish Guy
10,8,7.5,Cool Hand Peter
10,9,6.7,Grumpy Old Man
10,10,7.2,Meg and Quagmire
10,11,7.8,The Blind Side
10,12,7.0,Livin' on a Prayer
10,13,6.8,Tom Tucker: The Man and His Dream
10,14,7.0,Be Careful What You Fish For
10,15,6.8,Burning Down the Bayit
10,16,7.4,Killer Queen
10,17,8.0,Forget-Me-Not
10,18,7.1,"You Can't Do That on Television, Peter"
10,19,7.7,Mr. & Mrs. Stewie
10,20,7.7,Leggo My Meg-O
10,21,6.5,Tea Peter
10,22,7.7,Family Guy Viewer Mail #2
10,23,7.3,Internal Affairs
11,1,7.3,Into Fat Air
11,2,7.2,Ratings Guy
11,3,6.7,The Old Man and the Big 'C'
11,4,8.4,Yug Ylimaf
11,5,7.2,Joe's Revenge
11,6,7.4,Lois Comes Out of Her Shell
11,7,7.0,Friends Without Benefits
